,0
003,5933.760895330377
012,-7573.01929213674
102,6081.827831661483
021D,-168.4824608668463
021U,-2427.425634931767
021C,-1453.65497955573
111D,1918.807931041715
111U,722.5952629817501
030T,2922.9151228669084
030C,694.0086483063484
201,41015.360280839835
120D,27727.42757136885
120U,7426.884586031974
120C,13729.114933471314
210,386687.054183724
300,inf
